,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
133,Brentford,Leicester City,2023-03-18,15:00:00,Matchweek 28,Sat,Away,D,1,1,0,0,0.7,0.25,0.65,1.0,0.35,0.7,0.6,0.45,0.65,0.9,0.8,0.1,0.45,0.05,0.2,0.9,0.65,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.24999999999999994,-0.4,0.15000000000000002,0.525,0.24999999999999997,0.39999999999999997,-0.35,-0.24999999999999994,0.15000000000000002,0.15000000000000002,0.55,-0.5,0.4,-0.2,-0.7,0.4,0.09999999999999998
134,Brentford,Liverpool,2023-01-02,17:30:00,Matchweek 19,Mon,Away,L,1,3,0,0,0.95,0.9,0.975,0.75,0.95,0.95,0.35,0.15,1.0,0.95,0.75,0.85,0.1,0.35,0.15,0.4,1.0,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.49999999999999994,0.25,0.475,0.275,0.85,0.6499999999999999,-0.6,-0.5499999999999999,0.5,0.19999999999999996,0.5,0.25,0.05,0.09999999999999998,-0.75,-0.09999999999999998,0.44999999999999996
135,Brentford,Liverpool,2023-05-06,17:30:00,Matchweek 35,Sat,Home,W,1,0,1,1,0.95,0.9,0.975,0.75,0.95,0.95,0.35,0.15,1.0,0.95,0.75,0.85,0.1,0.35,0.15,0.4,1.0,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.49999999999999994,0.25,0.475,0.275,0.85,0.6499999999999999,-0.6,-0.5499999999999999,0.5,0.19999999999999996,0.5,0.25,0.05,0.09999999999999998,-0.75,-0.09999999999999998,0.44999999999999996
136,Brentford,Manchester City,2022-11-12,12:30:00,Matchweek 16,Sat,Home,L,1,2,0,1,0.9,1.0,0.975,0.9,1.0,1.0,0.05,0.05,0.95,0.45,1.0,0.5,0.55,0.3,0.6,0.05,0.9,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.45,0.35,0.475,0.42500000000000004,0.9,0.7,-0.8999999999999999,-0.6499999999999999,0.44999999999999996,-0.3,0.75,-0.09999999999999998,0.5,0.04999999999999999,-0.30000000000000004,-0.45,0.35
137,Brentford,Manchester City,2023-05-28,16:30:00,Matchweek 38,Sun,Away,L,0,1,0,0,0.9,1.0,0.975,0.9,1.0,1.0,0.05,0.05,0.95,0.45,1.0,0.5,0.55,0.3,0.6,0.05,0.9,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.45,0.35,0.475,0.42500000000000004,0.9,0.7,-0.8999999999999999,-0.6499999999999999,0.44999999999999996,-0.3,0.75,-0.09999999999999998,0.5,0.04999999999999999,-0.30000000000000004,-0.45,0.35
138,Brentford,Manchester Utd,2022-08-13,17:30:00,Matchweek 2,Sat,Away,L,0,4,0,0,0.75,0.55,0.75,0.475,0.75,0.75,0.15,0.35,0.35,0.7,0.85,0.4,0.65,0.5,0.35,0.1,0.85,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.3,-0.09999999999999998,0.25,0.0,0.65,0.45,-0.7999999999999999,-0.35,-0.15000000000000002,-0.050000000000000044,0.6,-0.19999999999999996,0.6,0.25,-0.55,-0.4,0.29999999999999993
139,Brentford,Manchester Utd,2023-04-05,20:00:00,Matchweek 25,Wed,Home,W,1,0,1,1,0.75,0.55,0.75,0.475,0.75,0.75,0.15,0.35,0.35,0.7,0.85,0.4,0.65,0.5,0.35,0.1,0.85,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.3,-0.09999999999999998,0.25,0.0,0.65,0.45,-0.7999999999999999,-0.35,-0.15000000000000002,-0.050000000000000044,0.6,-0.19999999999999996,0.6,0.25,-0.55,-0.4,0.29999999999999993
140,Brentford,Newcastle Utd,2022-10-08,15:00:00,Matchweek 10,Sat,Home,W,5,1,1,1,0.2,0.325,0.15,0.65,0.4,0.05,0.9,1.0,0.2,0.5,0.15,0.3,1.0,0.85,0.8,0.65,0.2,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,-0.25,-0.325,-0.35,0.17500000000000004,0.30000000000000004,-0.25,-0.04999999999999993,0.30000000000000004,-0.3,-0.25,-0.1,-0.3,0.95,0.6,-0.09999999999999998,0.15000000000000002,-0.35000000000000003
141,Brentford,Newcastle Utd,2023-04-08,15:00:00,Matchweek 30,Sat,Away,W,2,1,1,0,0.2,0.325,0.15,0.65,0.4,0.05,0.9,1.0,0.2,0.5,0.15,0.3,1.0,0.85,0.8,0.65,0.2,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,-0.25,-0.325,-0.35,0.17500000000000004,0.30000000000000004,-0.25,-0.04999999999999993,0.30000000000000004,-0.3,-0.25,-0.1,-0.3,0.95,0.6,-0.09999999999999998,0.15000000000000002,-0.35000000000000003
142,Brentford,Nott'ham Forest,2022-11-05,15:00:00,Matchweek 15,Sat,Home,D,2,2,0,1,0.3,0.15,0.225,0.4,0.05,0.05,0.85,1.0,0.15,0.2,0.05,0.25,0.9,0.55,0.75,0.2,0.2,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,-0.15000000000000002,-0.5,-0.275,-0.07499999999999996,-0.05,-0.25,-0.09999999999999998,0.30000000000000004,-0.35,-0.55,-0.2,-0.35,0.85,0.30000000000000004,-0.15000000000000002,-0.3,-0.35000000000000003
143,Brentford,Nott'ham Forest,2023-04-29,15:00:00,Matchweek 34,Sat,Away,L,1,2,0,0,0.3,0.15,0.225,0.4,0.05,0.05,0.85,1.0,0.15,0.2,0.05,0.25,0.9,0.55,0.75,0.2,0.2,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,-0.15000000000000002,-0.5,-0.275,-0.07499999999999996,-0.05,-0.25,-0.09999999999999998,0.30000000000000004,-0.35,-0.55,-0.2,-0.35,0.85,0.30000000000000004,-0.15000000000000002,-0.3,-0.35000000000000003
144,Brentford,Southampton,2023-02-04,15:00:00,Matchweek 22,Sat,Away,L,0,3,0,0,0.3,0.2,0.45,0.25,0.8,0.4,0.65,0.65,0.75,0.4,0.65,0.95,0.9,0.65,0.3,0.8,0.6,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,-0.15000000000000002,-0.45,-0.04999999999999999,-0.22499999999999998,0.7000000000000001,0.10000000000000003,-0.29999999999999993,-0.04999999999999993,0.25,-0.35,0.4,0.35,0.85,0.4,-0.6000000000000001,0.30000000000000004,0.04999999999999993
145,Brentford,Southampton,2023-03-15,19:30:00,Matchweek 7,Wed,Home,L,0,2,0,1,0.3,0.2,0.45,0.25,0.8,0.4,0.65,0.65,0.75,0.4,0.65,0.95,0.9,0.65,0.3,0.8,0.6,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,-0.15000000000000002,-0.45,-0.04999999999999999,-0.22499999999999998,0.7000000000000001,0.10000000000000003,-0.29999999999999993,-0.04999999999999993,0.25,-0.35,0.4,0.35,0.85,0.4,-0.6000000000000001,0.30000000000000004,0.04999999999999993
146,Brentford,Tottenham,2022-12-26,12:30:00,Matchweek 17,Mon,Away,D,2,2,0,0,0.6,0.85,0.85,0.6,0.5,0.8,0.1,0.2,0.4,1.0,0.9,0.25,0.8,0.45,0.5,0.3,0.45,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.14999999999999997,0.19999999999999996,0.35,0.125,0.4,0.5,-0.85,-0.49999999999999994,-0.09999999999999998,0.25,0.65,-0.35,0.75,0.2,-0.4,-0.2,-0.10000000000000003
147,Brentford,Tottenham,2023-05-20,12:30:00,Matchweek 37,Sat,Home,L,1,3,0,1,0.6,0.85,0.85,0.6,0.5,0.8,0.1,0.2,0.4,1.0,0.9,0.25,0.8,0.45,0.5,0.3,0.45,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.14999999999999997,0.19999999999999996,0.35,0.125,0.4,0.5,-0.85,-0.49999999999999994,-0.09999999999999998,0.25,0.65,-0.35,0.75,0.2,-0.4,-0.2,-0.10000000000000003
148,Brentford,West Ham,2022-12-30,19:45:00,Matchweek 18,Fri,Home,L,0,2,0,1,0.55,0.5,0.7,0.85,0.65,0.45,0.5,0.5,0.25,0.2,0.45,0.55,0.3,0.8,0.25,0.25,0.8,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.10000000000000003,-0.15000000000000002,0.19999999999999996,0.375,0.55,0.15000000000000002,-0.44999999999999996,-0.19999999999999996,-0.25,-0.55,0.2,-0.04999999999999993,0.25,0.55,-0.65,-0.25,0.25
149,Brentford,West Ham,2023-05-14,14:00:00,Matchweek 36,Sun,Away,L,0,2,0,0,0.55,0.5,0.7,0.85,0.65,0.45,0.5,0.5,0.25,0.2,0.45,0.55,0.3,0.8,0.25,0.25,0.8,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.10000000000000003,-0.15000000000000002,0.19999999999999996,0.375,0.55,0.15000000000000002,-0.44999999999999996,-0.19999999999999996,-0.25,-0.55,0.2,-0.04999999999999993,0.25,0.55,-0.65,-0.25,0.25
150,Brentford,Wolves,2022-10-29,15:00:00,Matchweek 14,Sat,Away,D,1,1,0,0,1.0,0.4,0.1,0.3,0.3,0.55,0.3,0.4,0.3,0.35,0.35,0.15,0.95,0.75,0.05,0.75,0.5,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.55,-0.25,-0.4,-0.175,0.19999999999999998,0.25000000000000006,-0.6499999999999999,-0.29999999999999993,-0.2,-0.4,0.09999999999999998,-0.44999999999999996,0.8999999999999999,0.5,-0.85,0.25,-0.050000000000000044
151,Brentford,Wolves,2023-04-15,15:00:00,Matchweek 31,Sat,Home,W,2,0,1,1,1.0,0.4,0.1,0.3,0.3,0.55,0.3,0.4,0.3,0.35,0.35,0.15,0.95,0.75,0.05,0.75,0.5,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.55,-0.25,-0.4,-0.175,0.19999999999999998,0.25000000000000006,-0.6499999999999999,-0.29999999999999993,-0.2,-0.4,0.09999999999999998,-0.44999999999999996,0.8999999999999999,0.5,-0.85,0.25,-0.050000000000000044
152,Brighton,Arsenal,2022-12-31,17:30:00,Matchweek 18,Sat,Away,W,4,2,1,0,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.04999999999999993,-0.050000000000000044,0.25,0.2,0.25,-0.19999999999999996,-0.5,0.04999999999999999,-0.20000000000000007,0.6,0.09999999999999998,0.24999999999999994,0.04999999999999999,-0.05000000000000002,0.6,0.05000000000000002,-0.6
153,Brighton,Arsenal,2023-05-14,16:30:00,Matchweek 36,Sun,Home,L,0,3,0,1,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.04999999999999993,-0.050000000000000044,0.25,0.2,0.25,-0.19999999999999996,-0.5,0.04999999999999999,-0.20000000000000007,0.6,0.09999999999999998,0.24999999999999994,0.04999999999999999,-0.05000000000000002,0.6,0.05000000000000002,-0.6
155,Brighton,Aston Villa,2023-05-28,16:30:00,Matchweek 38,Sun,Home,W,2,1,1,1,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.4,-0.15000000000000002,-0.20000000000000007,0.6000000000000001,-0.14999999999999997,-0.5,-0.19999999999999996,0.5,-0.25,0.35,-0.04999999999999993,0.2,0.49999999999999994,0.39999999999999997,0.25,0.19999999999999998,-0.5499999999999999
156,Brighton,Bournemouth,2023-02-04,15:00:00,Matchweek 22,Sat,Away,L,0,1,0,0,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.45000000000000007,-0.55,-0.4,0.37499999999999994,-0.5,-0.7,-0.25,0.65,-0.75,0.25,-0.3,-0.4,0.6499999999999999,0.7,-0.35000000000000003,0.5499999999999999,-0.5499999999999999
157,Brighton,Bournemouth,2023-04-04,19:45:00,Matchweek 7,Tue,Home,L,0,2,0,1,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.45000000000000007,-0.55,-0.4,0.37499999999999994,-0.5,-0.7,-0.25,0.65,-0.75,0.25,-0.3,-0.4,0.6499999999999999,0.7,-0.35000000000000003,0.5499999999999999,-0.5499999999999999
158,Brighton,Brentford,2022-10-14,20:00:00,Matchweek 11,Fri,Home,W,2,0,1,1,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.35000000000000003,-0.09999999999999998,-0.050000000000000044,0.27499999999999997,-0.5,-0.55,0.19999999999999996,0.44999999999999996,-0.30000000000000004,0.5,-0.35,0.14999999999999997,-0.15000000000000002,0.04999999999999999,0.5,0.35,-0.1499999999999999
159,Brighton,Brentford,2023-04-01,15:00:00,Matchweek 29,Sat,Away,D,3,3,0,0,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.35000000000000003,-0.09999999999999998,-0.050000000000000044,0.27499999999999997,-0.5,-0.55,0.19999999999999996,0.44999999999999996,-0.30000000000000004,0.5,-0.35,0.14999999999999997,-0.15000000000000002,0.04999999999999999,0.5,0.35,-0.1499999999999999
160,Brighton,Chelsea,2022-10-29,15:00:00,Matchweek 14,Sat,Away,L,1,4,0,0,0.65,0.95,0.9,0.95,0.9,0.9,0.2,0.1,0.9,0.8,0.95,0.35,0.4,0.1,0.7,0.6,0.95,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.15000000000000002,0.19999999999999996,0.35,0.75,0.30000000000000004,0.050000000000000044,-0.55,-0.15,0.09999999999999998,0.55,0.35,-0.10000000000000003,0.2,-0.1,0.29999999999999993,0.44999999999999996,0.25
161,Brighton,Chelsea,2023-04-15,15:00:00,Matchweek 31,Sat,Home,L,1,2,0,1,0.65,0.95,0.9,0.95,0.9,0.9,0.2,0.1,0.9,0.8,0.95,0.35,0.4,0.1,0.7,0.6,0.95,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.15000000000000002,0.19999999999999996,0.35,0.75,0.30000000000000004,0.050000000000000044,-0.55,-0.15,0.09999999999999998,0.55,0.35,-0.10000000000000003,0.2,-0.1,0.29999999999999993,0.44999999999999996,0.25
162,Brighton,Crystal Palace,2023-02-11,15:00:00,Matchweek 23,Sat,Home,D,1,1,0,1,0.35,0.8,0.6,0.7,0.15,0.6,0.7,0.6,0.7,0.55,0.5,0.05,0.6,0.55,0.95,0.7,0.75,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.45000000000000007,0.050000000000000044,0.04999999999999993,0.49999999999999994,-0.44999999999999996,-0.25,-0.050000000000000044,0.35,-0.10000000000000009,0.30000000000000004,-0.09999999999999998,-0.4,0.39999999999999997,0.35000000000000003,0.5499999999999999,0.5499999999999999,0.050000000000000044
163,Brighton,Crystal Palace,2023-03-15,19:30:00,Matchweek 8,Wed,Away,L,0,1,0,0,0.35,0.8,0.6,0.7,0.15,0.6,0.7,0.6,0.7,0.55,0.5,0.05,0.6,0.55,0.95,0.7,0.75,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.45000000000000007,0.050000000000000044,0.04999999999999993,0.49999999999999994,-0.44999999999999996,-0.25,-0.050000000000000044,0.35,-0.10000000000000009,0.30000000000000004,-0.09999999999999998,-0.4,0.39999999999999997,0.35000000000000003,0.5499999999999999,0.5499999999999999,0.050000000000000044
164,Brighton,Everton,2023-01-03,19:45:00,Matchweek 19,Tue,Home,L,1,4,0,1,0.25,0.45,0.3,0.55,0.55,0.15,0.8,0.85,0.15,0.15,0.2,1.0,0.5,0.95,0.55,0.95,0.25,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.55,-0.3,-0.25000000000000006,0.35000000000000003,-0.04999999999999993,-0.7,0.050000000000000044,0.6,-0.65,-0.1,-0.39999999999999997,0.55,0.3,0.75,0.15000000000000002,0.7999999999999999,-0.44999999999999996
166,Brighton,Fulham,2022-08-30,19:30:00,Matchweek 5,Tue,Home,W,2,1,1,1,0.95,0.25,0.35,0.85,0.6,0.55,0.3,0.6,0.55,0.25,0.2,0.6,0.8,0.6,0.95,0.85,0.6,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.1499999999999999,-0.5,-0.20000000000000007,0.6499999999999999,0.0,-0.29999999999999993,-0.45,0.35,-0.25,0.0,-0.39999999999999997,0.14999999999999997,0.6000000000000001,0.39999999999999997,0.5499999999999999,0.7,-0.09999999999999998
168,Brighton,Leeds United,2022-08-27,15:00:00,Matchweek 4,Sat,Away,L,0,1,0,0,0.1,0.1,0.4,0.35,0.2,0.5,0.45,0.55,0.85,0.65,0.4,0.9,0.35,0.4,0.85,1.0,0.4,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.7000000000000001,-0.65,-0.15000000000000002,0.14999999999999997,-0.39999999999999997,-0.35,-0.3,0.30000000000000004,0.04999999999999993,0.4,-0.19999999999999996,0.45,0.14999999999999997,0.2,0.44999999999999996,0.85,-0.29999999999999993
169,Brighton,Leeds United,2023-03-11,15:00:00,Matchweek 27,Sat,Home,D,2,2,0,1,0.1,0.1,0.4,0.35,0.2,0.5,0.45,0.55,0.85,0.65,0.4,0.9,0.35,0.4,0.85,1.0,0.4,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.7000000000000001,-0.65,-0.15000000000000002,0.14999999999999997,-0.39999999999999997,-0.35,-0.3,0.30000000000000004,0.04999999999999993,0.4,-0.19999999999999996,0.45,0.14999999999999997,0.2,0.44999999999999996,0.85,-0.29999999999999993
170,Brighton,Leicester City,2022-09-04,14:00:00,Matchweek 6,Sun,Away,L,2,5,0,0,0.7,0.25,0.65,1.0,0.35,0.7,0.6,0.45,0.65,0.9,0.8,0.1,0.45,0.05,0.2,0.9,0.65,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.10000000000000009,-0.5,0.09999999999999998,0.8,-0.25,-0.15000000000000002,-0.15000000000000002,0.2,-0.15000000000000002,0.65,0.20000000000000007,-0.35,0.25,-0.15000000000000002,-0.2,0.75,-0.04999999999999993
171,Brighton,Leicester City,2023-01-21,15:00:00,Matchweek 21,Sat,Home,D,2,2,0,1,0.7,0.25,0.65,1.0,0.35,0.7,0.6,0.45,0.65,0.9,0.8,0.1,0.45,0.05,0.2,0.9,0.65,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.10000000000000009,-0.5,0.09999999999999998,0.8,-0.25,-0.15000000000000002,-0.15000000000000002,0.2,-0.15000000000000002,0.65,0.20000000000000007,-0.35,0.25,-0.15000000000000002,-0.2,0.75,-0.04999999999999993
172,Brighton,Liverpool,2022-10-01,15:00:00,Matchweek 9,Sat,Home,D,3,3,0,1,0.95,0.9,0.975,0.75,0.95,0.95,0.35,0.15,1.0,0.95,0.75,0.85,0.1,0.35,0.15,0.4,1.0,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.1499999999999999,0.15000000000000002,0.42499999999999993,0.55,0.35,0.09999999999999998,-0.4,-0.1,0.19999999999999996,0.7,0.15000000000000002,0.39999999999999997,-0.1,0.14999999999999997,-0.25,0.25,0.30000000000000004
173,Brighton,Liverpool,2023-01-14,15:00:00,Matchweek 20,Sat,Away,L,0,3,0,0,0.95,0.9,0.975,0.75,0.95,0.95,0.35,0.15,1.0,0.95,0.75,0.85,0.1,0.35,0.15,0.4,1.0,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.1499999999999999,0.15000000000000002,0.42499999999999993,0.55,0.35,0.09999999999999998,-0.4,-0.1,0.19999999999999996,0.7,0.15000000000000002,0.39999999999999997,-0.1,0.14999999999999997,-0.25,0.25,0.30000000000000004
174,Brighton,Manchester City,2022-10-22,15:00:00,Matchweek 13,Sat,Home,W,3,1,1,1,0.9,1.0,0.975,0.9,1.0,1.0,0.05,0.05,0.95,0.45,1.0,0.5,0.55,0.3,0.6,0.05,0.9,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.09999999999999998,0.25,0.42499999999999993,0.7,0.4,0.15000000000000002,-0.7,-0.2,0.1499999999999999,0.2,0.4,0.04999999999999999,0.35000000000000003,0.09999999999999998,0.19999999999999996,-0.09999999999999999,0.20000000000000007
175,Brighton,Manchester City,2023-05-24,20:00:00,Matchweek 32,Wed,Away,D,1,1,0,0,0.9,1.0,0.975,0.9,1.0,1.0,0.05,0.05,0.95,0.45,1.0,0.5,0.55,0.3,0.6,0.05,0.9,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.09999999999999998,0.25,0.42499999999999993,0.7,0.4,0.15000000000000002,-0.7,-0.2,0.1499999999999999,0.2,0.4,0.04999999999999999,0.35000000000000003,0.09999999999999998,0.19999999999999996,-0.09999999999999999,0.20000000000000007
176,Brighton,Manchester Utd,2022-08-07,14:00:00,Matchweek 1,Sun,Home,L,1,2,0,1,0.75,0.55,0.75,0.475,0.75,0.75,0.15,0.35,0.35,0.7,0.85,0.4,0.65,0.5,0.35,0.1,0.85,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.050000000000000044,-0.19999999999999996,0.19999999999999996,0.27499999999999997,0.15000000000000002,-0.09999999999999998,-0.6,0.09999999999999998,-0.45000000000000007,0.44999999999999996,0.25,-0.04999999999999999,0.45,0.3,-0.050000000000000044,-0.04999999999999999,0.15000000000000002
177,Brighton,Manchester Utd,2023-05-04,20:00:00,Matchweek 28,Thu,Away,L,0,1,0,0,0.75,0.55,0.75,0.475,0.75,0.75,0.15,0.35,0.35,0.7,0.85,0.4,0.65,0.5,0.35,0.1,0.85,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.050000000000000044,-0.19999999999999996,0.19999999999999996,0.27499999999999997,0.15000000000000002,-0.09999999999999998,-0.6,0.09999999999999998,-0.45000000000000007,0.44999999999999996,0.25,-0.04999999999999999,0.45,0.3,-0.050000000000000044,-0.04999999999999999,0.15000000000000002
178,Brighton,Newcastle Utd,2022-08-13,15:00:00,Matchweek 2,Sat,Away,D,0,0,0,0,0.2,0.325,0.15,0.65,0.4,0.05,0.9,1.0,0.2,0.5,0.15,0.3,1.0,0.85,0.8,0.65,0.2,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.6000000000000001,-0.425,-0.4,0.45,-0.19999999999999996,-0.7999999999999999,0.15000000000000002,0.75,-0.6000000000000001,0.25,-0.44999999999999996,-0.15000000000000002,0.8,0.6499999999999999,0.4,0.5,-0.49999999999999994
179,Brighton,Newcastle Utd,2023-05-18,19:30:00,Matchweek 25,Thu,Home,W,4,1,1,1,0.2,0.325,0.15,0.65,0.4,0.05,0.9,1.0,0.2,0.5,0.15,0.3,1.0,0.85,0.8,0.65,0.2,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,-0.6000000000000001,-0.425,-0.4,0.45,-0.19999999999999996,-0.7999999999999999,0.15000000000000002,0.75,-0.6000000000000001,0.25,-0.44999999999999996,-0.15000000000000002,0.8,0.6499999999999999,0.4,0.5,-0.49999999999999994
